cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat
0.9766195,0.9505812,0.008290969,0.034651846,-0.022662694,0.7053927,0.9032694,-0.030849537,1.1629308,-0.05032005
0.9946065,0.9016991,0.70323485,0.6476986,0.011116913,0.94954634,0.7413754,0.04255837,-0.30185932,-0.03017162
0.9470925,1.038286,0.10305748,0.17497995,0.0018753425,-0.018446753,0.89762926,-0.068216324,-0.29306695,-0.05090931
0.97282785,1.0198647,0.441319,0.5192491,0.010188101,0.45558196,0.9781151,-0.038087923,0.80461025,-0.0450517
0.9891731,1.0142705,0.7592079,0.8353647,0.008027777,1.0450428,0.6408162,-0.0030144448,0.49874347,-0.04538563
0.98044384,0.9560763,0.0706153,0.059959188,-0.010308551,0.93167853,0.5637462,-0.0282484,0.75312173,-0.047282983
0.95377666,1.0298299,0.33665258,0.39259085,0.003931941,0.46190777,0.5890742,-0.03482998,-0.94962454,-0.04983932
0.9967176,1.0025281,0.16448437,0.13149884,-0.013249343,1.045569,-0.28452292,-0.029990127,-0.66847485,-0.041902937
0.98976845,0.9657384,0.10866164,0.03134896,0.0031441278,0.9603273,-0.08563366,-0.06873661,-0.44766265,-0.04970213
0.9993936,1.011182,0.5549686,0.6110521,0.0006647237,0.9773298,0.5224898,-0.006511108,-0.6913982,-0.04977929
1.0060954,0.4542468,0.46903363,0.1628986,0.0424334,0.80998737,0.8084975,0.088318676,1.8219513,-0.033910066
1.0003287,0.9084848,0.4940684,0.44332504,-0.00044290198,0.8731773,0.8763047,0.0314325,0.52599555,-0.035894133
1.0086547,1.0017608,0.28049976,0.38895077,-0.005720968,0.94710755,0.59709823,-0.018798623,-0.29085454,-0.04689187
0.9656045,0.9218965,-0.4902662,-0.22452752,0.004712572,0.7426913,0.8531775,0.010887012,-0.5753918,-0.022700505
0.39640874,0.4144548,-1.0514932,-0.2977801,-0.09703004,0.3675206,1.1227312,0.17722121,-1.0357708,0.0023003456
1.0036862,1.0247854,-0.40145397,-0.37182763,0.013629954,0.838571,-0.44620737,-0.07218396,-0.5567526,-0.034380812
0.9854277,0.9628398,-0.27500737,-0.30158752,0.013249507,0.91907024,-0.05805113,-0.0929142,-0.20083052,-0.048969474
0.9981213,1.0014733,0.31459588,0.2943118,6.681458e-05,1.078775,-0.044399463,-0.036877703,-0.36487716,-0.048010133
0.98623747,0.7296515,0.34831044,0.3779301,-0.004024314,0.67076576,-0.045504235,0.025868747,-1.3286747,-0.01908765
0.97829276,1.0106275,0.15386328,0.20499176,0.001789482,0.34187052,0.9866059,-0.04368662,1.6170261,-0.047858857
0.92695403,1.0115886,-0.046935506,-0.092938974,-0.0072400966,0.17192654,0.5679717,-0.066938035,-0.78808784,-0.050012264
0.9902327,1.0054394,0.12262808,0.17452738,-0.0070420005,0.59868234,0.2637657,-0.032688353,-1.0443428,-0.049863536
0.95648634,1.0216956,0.32660618,0.3721694,0.003984546,0.49555397,0.9006495,-0.01972941,0.6454329,-0.04514149
1.0084567,0.9416058,0.2041573,0.21159787,0.14596857,0.76165843,0.9089226,0.030047089,1.5197077,-0.039788324
1.0229617,0.7205065,0.55630845,0.37966657,0.001951249,1.0693182,0.021897053,0.026828771,-1.0853409,-0.04297582
0.966271,0.9598315,0.72271097,0.71166974,0.004103144,0.97967035,0.7602585,-0.012397651,1.5657939,-0.050797362
0.98436004,1.0244875,0.31317422,0.35810387,0.0030376217,0.511867,0.8939266,-0.017598199,0.8940323,-0.045527592
0.9716243,0.9590486,0.35043597,0.3190604,-0.0042923265,0.91899526,0.7175221,0.0009908202,1.7150166,-0.05286874
0.7899808,0.44280925,0.35014436,0.39757785,-0.0029074573,0.053715635,0.49509072,0.011370191,0.25814542,-0.03384577
0.97170186,1.0324761,-0.4525823,-0.41824433,-0.001381202,0.1978967,0.4241555,-0.06638257,-0.4355679,-0.045027316
0.994113,0.99946177,-0.0074493806,0.058706276,0.0049595884,0.4989259,0.96309024,-0.0009080722,1.7237118,-0.039709073
0.97860247,1.0218021,0.10816437,0.1389438,-0.0007323645,0.47882026,0.81909144,-0.018514497,-0.60928524,-0.051333208
0.99544835,0.9870156,0.28722018,0.25754333,-0.01734524,1.0714307,-0.22494677,-0.0151037825,-0.7607599,-0.040967755
0.99639934,0.97173464,-0.06492049,-0.10758825,-0.0088045355,0.963486,-0.214681,-0.055649538,-0.65707034,-0.043668408
0.15146597,-1.364353,-0.23946023,-0.059518933,-0.107195646,0.07556056,0.33597142,0.73753554,-2.228752,0.11673777
0.98254824,0.9551118,0.31506506,0.3065728,0.0016600058,0.94588524,0.7391083,-0.0022819065,1.5646819,-0.04662552
0.99569595,0.9991144,0.25733224,0.31088156,0.0016335525,0.7735691,0.8907047,-0.010985266,1.415091,-0.052010383
0.9992997,0.97579986,0.5448549,0.49332392,0.0010396928,1.0049517,0.043781824,0.014910438,-0.94671464,-0.0433232
0.9736209,1.0123222,0.2067202,0.2568734,-0.009455321,0.71920264,0.4171404,-0.047974043,-0.90390617,-0.051958933
0.987128,-0.12370264,0.2477504,-0.051318154,-0.018068561,0.73140013,0.1069398,0.2704609,-1.2935058,0.009270748
